-- Logs begin at Wed 2022-11-02 12:53:20 UTC, end at Wed 2022-11-02 15:11:44 UTC. --
Nov 02 14:28:16 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Nov 02 14:28:16 ubuntu dstat.sh[71630]: ----system---- ----total-usage---- ------memory-usage----- -net/total- -dsk/total- --io/total- ---system-- ---load-avg--- ---procs--- ---paging-- ----swap--- ------tcp-sockets-------
Nov 02 14:28:16 ubuntu dstat.sh[71630]:      time     |usr sys idl wai stl| used  free  buf   cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out | used  free|lis  act  syn  tim  clo
Nov 02 14:46:27 ubuntu dstat.sh[71630]: 02-11 14:46:27| 29   3  66   3   0|5158M  368M  184M 2153M| 356k  347k|   0  4802k|   0   378 |4382  7355 |0.76 1.02 1.20|5.0 1.0 1.0|   0     0 |   0     0 | 25  304    0   50    0
Nov 02 14:46:28 ubuntu dstat.sh[71630]: 02-11 14:46:28| 28   4  66   2   0|5135M  390M  184M 2153M| 143k  136k|  96k  812k|4.02   111 |3077  4739 |0.76 1.02 1.20|3.0   0  22|   0     0 |   0     0 | 25  302    0   51    0
Nov 02 14:46:29 ubuntu dstat.sh[71630]: 02-11 14:46:29| 28   4  69   0   0|5153M  373M  184M 2153M| 264k  256k|  68k  522k|4.99  18.9 |2872  4734 |0.76 1.02 1.20|4.0   0   0|   0     0 |   0     0 | 25  300    0   58    2
Nov 02 14:46:30 ubuntu dstat.sh[71630]: 02-11 14:46:30| 15  21  63   0   0|5150M  376M  184M 2154M|  14k 5338 |   0  1323k|   0  80.9 |4056  7131 |0.76 1.02 1.20|5.0   0 438|   0     0 |   0     0 | 25  300    0   58    2
Nov 02 14:46:31 ubuntu dstat.sh[71630]: 02-11 14:46:31| 23   9  68   0   1|5144M  381M  184M 2154M|  18k 3654 |   0   200k|   0  6.00 |2662  4364 |1.02 1.07 1.22|3.0   0  81|   0     0 |   0     0 | 25  300    0   47    2
Nov 02 14:46:32 ubuntu dstat.sh[71630]: 02-11 14:46:32| 28   6  63   2   0|5174M  351M  184M 2154M|  24k   17k| 175k 1222k|13.9  62.7 |2750  4189 |1.02 1.07 1.22|4.0   0 2.0|   0     0 |   0     0 | 25  300    0   47    2
Nov 02 14:46:33 ubuntu dstat.sh[71630]: 02-11 14:46:33| 24   5  71   0   0|5220M  304M  184M 2154M|9523  2010 |   0     0 |   0     0 |1824  2632 |1.02 1.07 1.22|6.0   0 1.0|   0     0 |   0     0 | 25  300    0   47    2
Nov 02 14:46:34 ubuntu dstat.sh[71630]: 02-11 14:46:34| 27   4  69   1   0|5233M  288M  185M 2157M|  17k   10k|  16k 1051k|3.01  24.1 |3192  5157 |1.02 1.07 1.22|4.0   0   0|   0     0 |   0     0 | 25  300    0   47    2
Nov 02 14:46:35 ubuntu dstat.sh[71630]: 02-11 14:46:35| 25   5  69   0   0|5221M  301M  185M 2157M|  29k   22k|   0   355k|   0  34.9 |2212  3074 |1.02 1.07 1.22|4.0   0 4.0|   0     0 |   0     0 | 25  304    0   47    2
Nov 02 14:46:36 ubuntu dstat.sh[71630]: 02-11 14:46:36| 28   4  68   1   0|5239M  282M  185M 2157M| 224k  212k|   0   697k|   0  38.1 |3593  6375 |1.02 1.07 1.22|2.0   0   0|   0     0 |   0     0 | 25  305    0   47    2
Nov 02 14:46:37 ubuntu dstat.sh[71630]: 02-11 14:46:37| 28   4  63   5   0|5243M  278M  185M 2157M| 465k  449k|   0  1738k|   0   244 |5030  9090 |1.02 1.07 1.22|5.0   0   0|   0     0 |   0     0 | 25  306    0   48    2
Nov 02 14:46:38 ubuntu dstat.sh[71630]: 02-11 14:46:38| 31   2  65   2   0|5250M  271M  185M 2157M| 401k  391k|   0  1036k|   0   103 |3432  5593 |1.02 1.07 1.22|2.0   0   0|   0     0 |   0     0 | 25  306    0   48    2
Nov 02 14:46:39 ubuntu dstat.sh[71630]: 02-11 14:46:39| 26   3  60   9   0|5256M  265M  185M 2157M| 486k  478k|   0  6860k|   0   811 |4745  7241 |1.02 1.07 1.22|2.0 1.0   0|   0     0 |   0     0 | 25  306    0   50    2
Nov 02 14:46:40 ubuntu dstat.sh[71630]: 02-11 14:46:40| 31   3  63   2   0|5259M  262M  185M 2157M| 553k  543k|   0  1397k|   0   149 |3927  6558 |1.02 1.07 1.22|8.0   0   0|   0     0 |   0     0 | 25  306    0   50    2
Nov 02 14:46:41 ubuntu dstat.sh[71630]: 02-11 14:46:41| 31   4  60   3   0|5261M  259M  185M 2158M| 541k  532k|   0  1796k|   0   199 |5319  9686 |1.02 1.07 1.22|2.0   0 2.0|   0     0 |   0     0 | 25  308    0   53    2
Nov 02 14:46:42 ubuntu dstat.sh[71630]: 02-11 14:46:42| 30   3  62   4   0|5266M  254M  185M 2158M| 395k  385k|   0  2103k|   0   276 |4890  8313 |1.02 1.07 1.22|3.0   0   0|   0     0 |   0     0 | 25  308    0   53    2
Nov 02 14:46:43 ubuntu dstat.sh[71630]: 02-11 14:46:43| 29   3  65   2   0|5266M  254M  185M 2158M| 569k  559k|   0  1523k|   0   168 |3805  6269 |1.02 1.07 1.22|3.0   0   0|   0     0 |   0     0 | 25  308    0   55    2
Nov 02 14:46:44 ubuntu dstat.sh[71630]: 02-11 14:46:44| 32   3  61   2   0|5267M  253M  185M 2158M| 651k  632k|   0  1679k|   0   200 |4463  7483 |1.02 1.07 1.22|3.0   0   0|   0     0 |   0     0 | 25  308    0   55    2
Nov 02 14:46:45 ubuntu dstat.sh[71630]: 02-11 14:46:45| 41   3  56   1   0|5273M  246M  186M 2158M| 784k  772k|  24k 1330k|2.00   130 |4413  8468 |1.02 1.07 1.22|2.0   0 1.0|   0     0 |   0     0 | 25  310    0   63    2
Nov 02 14:46:46 ubuntu dstat.sh[71630]: 02-11 14:46:46| 31   7  60   3   0|5292M  227M  186M 2159M| 556k  543k|   0  1791k|   0   155 |4894  9161 |1.02 1.07 1.21|3.0   0 8.0|   0     0 |   0     0 | 25  327    0   64    2
Nov 02 14:46:47 ubuntu dstat.sh[71630]: 02-11 14:46:47| 31   5  57   7   0|5312M  206M  186M 2159M| 572k  563k|   0  2157k|   0   285 |5713    10k|1.02 1.07 1.21|9.0   0 1.0|   0     0 |   0     0 | 25  335    0   64    2
Nov 02 14:46:48 ubuntu dstat.sh[71630]: 02-11 14:46:48| 52  12  32   3   1|5326M  174M  186M 2175M|  66M   66M|  21k   34M|6.00   374 |6769    12k|1.02 1.07 1.21|3.0   0  13|   0     0 |   0     0 | 25  338    0   70    2
Nov 02 14:46:49 ubuntu dstat.sh[71630]: 02-11 14:46:49| 52   6  41   2   0|5373M  128M  186M 2175M| 571k  556k|  84k 1836k|7.00   134 |4273  6971 |1.02 1.07 1.21|5.0   0 6.0|   0     0 |   0     0 | 25  340    0   70    2
Nov 02 14:46:50 ubuntu dstat.sh[71630]: 02-11 14:46:50| 44   7  38  11   0|5414M  124M  185M 2141M| 511k  501k| 299k   27M|29.9   916 |5485  6349 |1.02 1.07 1.21|  0 1.0 4.0|   0     0 |   0     0 | 25  338    0   58    2
Nov 02 14:46:51 ubuntu dstat.sh[71630]: 02-11 14:46:51| 21  11  64   5   0|5386M  189M  184M 2106M| 113k  104k|1221k 1410k| 119   136 |2972  4051 |1.10 1.08 1.22|4.0   0  16|   0     0 |   0     0 | 25  340    0   58    2
Nov 02 14:46:52 ubuntu dstat.sh[71630]: 02-11 14:46:52| 28   6  64   2   0|5410M  165M  184M 2106M| 147k  141k|  52k 1048k|8.97  72.7 |3135  5168 |1.10 1.08 1.22|6.0   0 6.0|   0     0 |   0     0 | 25  340    0   51    2
Nov 02 14:46:53 ubuntu dstat.sh[71630]: 02-11 14:46:53| 30   6  64   0   0|5453M  122M  184M 2106M| 114k  106k|   0   487k|   0  23.1 |2392  3535 |1.10 1.08 1.22|2.0   0 2.0|   0     0 |   0     0 | 25  340    0   51    2
Nov 02 14:46:54 ubuntu dstat.sh[71630]: 02-11 14:46:54| 26   7  60   5   0|5428M  196M  183M 2059M| 191k  171k| 983k 2814k| 129   406 |3342  4457 |1.10 1.08 1.22|2.0   0 8.0|   0     0 |   0     0 | 25  340    0   53    2
Nov 02 14:46:55 ubuntu dstat.sh[71630]: 02-11 14:46:55| 25   6  64   7   0|5439M  184M  183M 2060M| 151k  140k|1579k  790k|47.1  46.1 |2957  4381 |1.10 1.08 1.22|3.0   0  12|   0     0 |   0     0 | 25  340    0   53    2
Nov 02 14:46:56 ubuntu dstat.sh[71630]: 02-11 14:46:56| 41   8  45   5   0|5466M  155M  183M 2061M| 315k  308k| 821k 1745k|14.9  99.6 |4298  7406 |1.17 1.10 1.22|6.0 1.0  28|   0     0 |   0     0 | 25  343    0   53    2
Nov 02 14:46:57 ubuntu dstat.sh[71630]: 02-11 14:46:57| 35  14  41  10   0|5517M  128M  183M 2040M| 130k  122k|  10M 4372k| 135   595 |5298  7149 |1.17 1.10 1.22|5.0   0  10|   0     0 |   0     0 | 26  349    0   54    2
Nov 02 14:46:58 ubuntu dstat.sh[71630]: 02-11 14:46:58| 51  17  29   2   0|5528M  180M  181M 1980M| 466k  457k|9175k 1409k| 321   124 |7760    14k|1.17 1.10 1.22|4.0   0 4.0|   0     0 |   0     0 | 26  353    0   48    2
Nov 02 14:46:59 ubuntu dstat.sh[71630]: 02-11 14:46:59| 61   8  25   6   0|5632M  122M  180M 1936M| 150k  142k|  12M  772k| 426  50.0 |8145    10k|1.17 1.10 1.22|4.0   0 9.0|   0     0 |   0     0 | 26  358    0   48    2
Nov 02 14:47:00 ubuntu dstat.sh[71630]: 02-11 14:47:00| 74  10  12   3   0|5710M  344M  179M 1650M| 287k  280k| 188k 2011k|18.0   207 |5145  8464 |1.17 1.10 1.22|6.0   0 6.0|   0     0 |   0     0 | 26  365    0   49    3
Nov 02 14:47:01 ubuntu dstat.sh[71630]: 02-11 14:47:01| 66  10  23   1   0|5730M  324M  179M 1651M| 257k  249k| 136k 1439k|10.0   118 |4510  9177 |1.47 1.16 1.24|3.0   0 7.0|   0     0 |   0     0 | 26  366    0   50    2
Nov 02 14:47:02 ubuntu dstat.sh[71630]: 02-11 14:47:02| 58  12  29   2   0|5644M  408M  180M 1651M| 525k  503k| 164k 1636k|14.0   171 |5429  9800 |1.47 1.16 1.24|6.0   0  43|   0     0 |   0     0 | 25  365    0   50    2
Nov 02 14:47:03 ubuntu dstat.sh[71630]: 02-11 14:47:03| 56   8  30   3   0|5682M  371M  180M 1651M| 887k  865k| 168k 2250k|6.98   164 |5437  9659 |1.47 1.16 1.24| 10   0  44|   0     0 |   0     0 | 25  366    0   51    2
Nov 02 14:47:04 ubuntu dstat.sh[71630]: 02-11 14:47:04| 21   6  71   3   0|5683M  368M  180M 1652M| 356k  342k| 112k 1456k|4.00   182 |4765  8621 |1.47 1.16 1.24|3.0   0 5.0|   0     0 |   0     0 | 25  367    0   51    2
Nov 02 14:47:05 ubuntu dstat.sh[71630]: 02-11 14:47:05| 30   3  67   2   1|5685M  366M  180M 1652M| 475k  467k| 344k  796k|7.00  86.0 |3533  5645 |1.47 1.16 1.24|3.0   0   0|   0     0 |   0     0 | 25  368    0   51    2
Nov 02 14:47:06 ubuntu dstat.sh[71630]: 02-11 14:47:06| 28   4  66   2   0|5691M  360M  180M 1652M| 475k  468k|   0  1030k|   0   124 |4035  6386 |1.44 1.16 1.24|2.0   0 2.0|   0     0 |   0     0 | 25  368    0   56    2
Nov 02 14:47:07 ubuntu dstat.sh[71630]: 02-11 14:47:07| 27   5  65   3   0|5692M  357M  181M 1653M| 471k  462k| 424k  971k|54.9  81.9 |3657  6037 |1.44 1.16 1.24|3.0   0   0|   0     0 |   0     0 | 25  368    0   57    2
Nov 02 14:47:08 ubuntu dstat.sh[71630]: 02-11 14:47:08| 31   5  64   2   0|5695M  354M  181M 1653M| 548k  532k|   0  1127k|   0   159 |4070  6739 |1.44 1.16 1.24|6.0   0 1.0|   0     0 |   0     0 | 25  368    0   60    2
Nov 02 14:47:09 ubuntu dstat.sh[71630]: 02-11 14:47:09| 27   4  64   4   0|5697M  352M  181M 1653M| 396k  388k| 553k 1656k|34.1   153 |4012  6879 |1.44 1.16 1.24|5.0   0   0|   0     0 |   0     0 | 25  370    0   61    2
Nov 02 14:47:10 ubuntu dstat.sh[71630]: 02-11 14:47:10| 27   5  62   4   0|5691M  357M  181M 1654M| 531k  523k|  52k 1340k|4.00   196 |5621    10k|1.44 1.16 1.24|2.0   0 1.0|   0     0 |   0     0 | 25  370    0   66    2
Nov 02 14:47:11 ubuntu dstat.sh[71630]: 02-11 14:47:11| 28   3  65   2   0|5691M  357M  182M 1654M| 482k  471k|   0  1399k|   0   193 |5673    10k|1.40 1.16 1.24|6.0   0 2.0|   0     0 |   0     0 | 25  370    0   69    2
Nov 02 14:47:12 ubuntu dstat.sh[71630]: 02-11 14:47:12| 32   4  61   4   0|5691M  357M  182M 1654M| 516k  506k|   0  1455k|   0   218 |4546  8171 |1.40 1.16 1.24|5.0   0   0|   0     0 |   0     0 | 25  370    0   69    2
Nov 02 14:47:13 ubuntu dstat.sh[71630]: 02-11 14:47:13| 31   3  64   2   0|5692M  355M  182M 1654M| 595k  586k|   0  1209k|   0   170 |4131  7349 |1.40 1.16 1.24|3.0   0   0|   0     0 |   0     0 | 25  370    0   71    2
Nov 02 14:47:14 ubuntu dstat.sh[71630]: 02-11 14:47:14| 33   4  62   1   0|5691M  355M  182M 1654M| 537k  529k|   0   876k|   0   130 |3950  6948 |1.40 1.16 1.24|8.0   0   0|   0     0 |   0     0 | 25  370    0   71    2
Nov 02 14:47:15 ubuntu dstat.sh[71630]: 02-11 14:47:15| 35   4  59   1   0|5694M  353M  182M 1655M| 773k  758k|   0   770k|   0   108 |4216  7449 |1.40 1.16 1.24|5.0   0   0|   0     0 |   0     0 | 25  369    0   77    2
Nov 02 14:47:16 ubuntu dstat.sh[71630]: 02-11 14:47:16| 27   6  63   5   0|5713M  333M  182M 1655M| 376k  369k|   0  1361k|   0   206 |4944  9019 |1.37 1.16 1.24|4.0   0 8.0|   0     0 |   0     0 | 25  390    0   76    2
Nov 02 14:47:17 ubuntu dstat.sh[71630]: 02-11 14:47:17| 38   7  53   2   0|5720M  325M  182M 1655M| 825k  816k|   0  1290k|   0   169 |6078    11k|1.37 1.16 1.24|3.0 1.0 1.0|   0     0 |   0     0 | 25  390    0   77    2
Nov 02 14:47:18 ubuntu dstat.sh[71630]: 02-11 14:47:18| 47  11  41   2   0|5721M  323M  183M 1655M| 650k  643k|   0  1405k|   0   157 |5153    14k|1.37 1.16 1.24|6.0   0  48|   0     0 |   0     0 | 25  390    0   75    2
Nov 02 14:47:19 ubuntu dstat.sh[71630]: 02-11 14:47:19| 38   6  54   2   0|5728M  317M  183M 1656M| 805k  797k|8155B  916k|1.00   113 |4448  7641 |1.37 1.16 1.24|4.0   0 8.0|   0     0 |   0     0 | 25  390    0   78    2
Nov 02 14:47:20 ubuntu dstat.sh[71630]: 02-11 14:47:20| 40   9  48   3   0|5732M  311M  183M 1656M| 343k  336k|   0  2890k|   0   165 |3820  5981 |1.37 1.16 1.24|6.0   0  34|   0     0 |   0     0 | 25  390    0   79    2
Nov 02 14:47:21 ubuntu dstat.sh[71630]: 02-11 14:47:21| 35  16  48   0   0|5749M  293M  183M 1657M| 282k  275k| 302k 2201k|28.9   123 |6275    11k|1.74 1.24 1.27|4.0   0  34|   0     0 |   0     0 | 26  391    0   80    2
Nov 02 14:47:22 ubuntu dstat.sh[71630]: 02-11 14:47:22| 39   7  48   6   0|5769M  273M  183M 1657M| 404k  396k|  18M 2165k| 672   174 |8445    15k|1.74 1.24 1.27|6.0 1.0   0|   0     0 |   0     0 | 26  391    0   80    2
Nov 02 14:47:23 ubuntu dstat.sh[71630]: 02-11 14:47:23| 44   3  49   3   0|5833M  209M  183M 1657M| 422k  416k| 529k 2299k|19.0   217 |4466  7307 |1.74 1.24 1.27|6.0   0   0|   0     0 |   0     0 | 26  389    0   83    2
Nov 02 14:47:24 ubuntu dstat.sh[71630]: 02-11 14:47:24| 38   4  57   1   0|5841M  201M  183M 1658M| 263k  246k|   0  1618k|   0   114 |3532  5981 |1.74 1.24 1.27|4.0 1.0   0|   0     0 |   0     0 | 26  392    0   83    2
Nov 02 14:47:25 ubuntu dstat.sh[71630]: 02-11 14:47:25| 48   8  42   1   0|5906M  136M  183M 1658M| 159k  148k|   0  1867k|   0   126 |4413  7764 |1.74 1.24 1.27|3.0   0 4.0|   0     0 |   0     0 | 26  390    0   82    2
Nov 02 14:47:26 ubuntu dstat.sh[71630]: 02-11 14:47:26| 51   7  41   0   0|5977M  129M  181M 1598M|  64k   56k|   0  1707k|   0  89.9 |3495  7266 |1.76 1.25 1.27|3.0 1.0 6.0|   0     0 |   0     0 | 26  398    0   82    2
Nov 02 14:47:27 ubuntu dstat.sh[71630]: 02-11 14:47:27| 42   5  44   9   0|5918M  193M  182M 1592M| 131k  117k|1680k 4079B|35.9  1.00 |4623  5696 |1.76 1.25 1.27|7.0   0 9.0|   0     0 |   0     0 | 26  401    0   82    2
Nov 02 14:47:28 ubuntu dstat.sh[71630]: 02-11 14:47:28| 39   3  52   5   0|5922M  190M  182M 1592M| 109k   87k| 140k   14M|2.00  1421 |5708  7082 |1.76 1.25 1.27|5.0   0   0|   0     0 |   0     0 | 26  401    0   82    2
Nov 02 14:47:29 ubuntu dstat.sh[71630]: 02-11 14:47:29| 36   3  56   3   0|5919M  192M  182M 1592M| 157k  147k|  96k 1437k|5.99  96.8 |5918  6867 |1.76 1.25 1.27|4.0   0 4.0|   0     0 |   0     0 | 26  399    0   81    2
Nov 02 14:47:30 ubuntu dstat.sh[71630]: 02-11 14:47:30| 31   4  63   2   0|5935M  176M  182M 1592M|  61k   54k| 341k  935k|16.0  57.2 |3413  6515 |1.76 1.25 1.27|4.0   0  12|   0     0 |   0     0 | 26  402    0   82    2
Nov 02 14:47:31 ubuntu dstat.sh[71630]: 02-11 14:47:31| 36   9  51   3   0|5946M  162M  182M 1594M|1180k   78k|1458k  909k| 142  56.1 |7290  7632 |1.70 1.24 1.27|2.0   0  41|   0     0 |   0     0 | 26  404    0   71    1
Nov 02 14:47:32 ubuntu dstat.sh[71630]: 02-11 14:47:32| 39   3  52   3   0|5957M  151M  182M 1593M| 156k  139k| 196k 1472k|50.0  87.0 |5531  7115 |1.70 1.24 1.27|4.0   0 5.0|   0     0 |   0     0 | 26  404    0   71    1
Nov 02 14:47:33 ubuntu dstat.sh[71630]: 02-11 14:47:33| 45   8  43   3   0|5794M  315M  183M 1593M| 462k  454k| 484k 9365k|21.0   241 |8151    13k|1.70 1.24 1.27|6.0   0  33|   0     0 |   0     0 | 25  405    0   71    1
Nov 02 14:47:34 ubuntu dstat.sh[71630]: 02-11 14:47:34| 33   9  55   3   0|5794M  314M  183M 1594M|1554k  457k| 127k 1402k|      99.6 |5396  7918 |1.70 1.24 1.27|5.0   0  54|   0     0 |   0     0 | 25  403    0   73    1
Nov 02 14:47:35 ubuntu dstat.sh[71630]: 02-11 14:47:35| 23   4  73   1   0|5794M  314M  183M 1594M| 392k  375k|   0  1008k|   0  96.0 |3872  5983 |1.70 1.24 1.27|2.0   0   0|   0     0 |   0     0 | 25  405    0   73    1
Nov 02 14:47:36 ubuntu dstat.sh[71630]: 02-11 14:47:36| 20   3  75   2   0|5795M  313M  183M 1594M| 375k  366k|  48k 1222k|7.01   135 |4430  7496 |1.64 1.24 1.27|2.0   0   0|   0     0 |   0     0 | 25  403    0   73    1
Nov 02 14:47:37 ubuntu dstat.sh[71630]: 02-11 14:47:37| 18   3  78   1   0|5795M  312M  183M 1594M| 320k  308k|   0   947k|   0   111 |3779  6317 |1.64 1.24 1.27|4.0   0   0|   0     0 |   0     0 | 25  404    0   73    1
Nov 02 14:47:38 ubuntu dstat.sh[71630]: 02-11 14:47:38| 14   3  80   2   0|5788M  319M  183M 1594M| 127k  113k|   0   529k|   0  46.8 |2922  4511 |1.64 1.24 1.27|8.0   0   0|   0     0 |   0     0 | 25  404    0   73    1
Nov 02 14:47:39 ubuntu dstat.sh[71630]: 02-11 14:47:39| 30   4  66   2   0|5788M  320M  183M 1594M| 588k  580k|   0   900k|   0   103 |3565  5935 |1.64 1.24 1.27|3.0   0 1.0|   0     0 |   0     0 | 25  405    0   73    1
Nov 02 14:47:40 ubuntu dstat.sh[71630]: 02-11 14:47:40| 29   3  65   2   0|5788M  319M  183M 1594M| 502k  489k|   0  1111k|   0   150 |3984  6514 |1.64 1.24 1.27|3.0   0   0|   0     0 |   0     0 | 25  406    0   75    1
Nov 02 14:47:41 ubuntu dstat.sh[71630]: 02-11 14:47:41| 29   5  63   3   0|5787M  319M  183M 1595M| 566k  557k|   0  1546k|   0   207 |5396    10k|1.83 1.29 1.28|4.0   0 2.0|   0     0 |   0     0 | 25  404    0   77    1
Nov 02 14:47:42 ubuntu dstat.sh[71630]: 02-11 14:47:42| 32   4  60   5   0|5787M  319M  183M 1595M| 564k  557k|   0  2192k|   0   338 |5724    10k|1.83 1.29 1.28|1.0   0   0|   0     0 |   0     0 | 25  405    0   78    1
Nov 02 14:47:43 ubuntu dstat.sh[71630]: 02-11 14:47:43| 28   3  66   2   0|5788M  318M  183M 1595M| 467k  456k|   0  1151k|   0   155 |3822  6341 |1.83 1.29 1.28|4.0   0   0|   0     0 |   0     0 | 25  405    0   78    1
Nov 02 14:47:44 ubuntu dstat.sh[71630]: 02-11 14:47:44| 30   4  64   2   0|5788M  318M  184M 1595M| 591k  579k|   0  1120k|   0   147 |4264  7052 |1.83 1.29 1.28|3.0   0   0|   0     0 |   0     0 | 25  405    0   78    1
Nov 02 14:47:45 ubuntu dstat.sh[71630]: 02-11 14:47:45| 37   4  58   1   0|5789M  316M  184M 1595M| 697k  688k|   0  1081k|   0   136 |4258  7022 |1.83 1.29 1.28|2.0   0   0|   0     0 |   0     0 | 25  404    0   76    1
Nov 02 14:47:46 ubuntu dstat.sh[71630]: 02-11 14:47:46| 39   4  55   4   0|5790M  315M  184M 1596M| 746k  739k|   0  1482k|   0   195 |5218  9098 |1.77 1.28 1.28|5.0 1.0   0|   0     0 |   0     0 | 25  404    0   79    1
Nov 02 14:47:47 ubuntu dstat.sh[71630]: 02-11 14:47:47| 54  11  32   5   1|5795M  309M  184M 1597M|1211k 1203k|4111B 3023k|1.00   376 |7075    13k|1.77 1.28 1.28|5.0   0  15|   0     0 |   0     0 | 25  403    0   74    2
Nov 02 14:47:48 ubuntu dstat.sh[71630]: 02-11 14:47:48| 61   8  28   3   0|5797M  306M  184M 1597M|1222k 1208k|   0  2529k|   0   291 |6221    11k|1.77 1.28 1.28|3.0   0  15|   0     0 |   0     0 | 25  403    0   74    3
Nov 02 14:47:49 ubuntu dstat.sh[71630]: 02-11 14:47:49| 62   7  29   2   0|5801M  301M  184M 1598M|1158k 1149k|   0  1635k|   0   165 |5470  9257 |1.77 1.28 1.28|3.0   0  17|   0     0 |   0     0 | 25  403    0   70    3
Nov 02 14:47:50 ubuntu dstat.sh[71630]: 02-11 14:47:50| 65  15  21   1   0|5809M  293M  184M 1598M| 862k  852k|8196B 1485k|1.00  98.1 |5185  8742 |1.77 1.28 1.28|3.0 1.0  71|   0     0 |   0     0 | 25  405    0   72    3
Nov 02 14:47:51 ubuntu dstat.sh[71630]: 02-11 14:47:51| 45  15  34   4   0|5844M  255M  184M 1601M| 347k  337k|2286k  947k|79.9  62.9 |7030    11k|2.03 1.34 1.30|5.0   0  49|   0     0 |   0     0 | 27  406    0   72    3
Nov 02 14:47:52 ubuntu dstat.sh[71630]: 02-11 14:47:52| 51  15  30   3   0|5867M  232M  184M 1601M| 656k  640k|9987k 1362k| 386   161 |  10k   18k|2.03 1.34 1.30|5.0 3.0   0|   0     0 |   0     0 | 27  405    0   72    3
Nov 02 14:47:53 ubuntu dstat.sh[71630]: 02-11 14:47:53| 71   7  17   3   0|5913M  185M  184M 1602M| 732k  724k|  28M  756k| 997  95.0 |8494    19k|2.03 1.34 1.30|4.0   0 5.0|   0     0 |   0     0 | 26  405    0   74    4
Nov 02 14:47:54 ubuntu dstat.sh[71630]: 02-11 14:47:54| 56   9  34   1   0|5940M  158M  185M 1602M| 383k  374k|   0  1220k|   0  75.2 |4322  7273 |2.03 1.34 1.30|2.0   0  43|   0     0 |   0     0 | 26  405    0   74    3
Nov 02 14:47:55 ubuntu dstat.sh[71630]: 02-11 14:47:55| 55  10  34   0   0|5967M  131M  185M 1602M| 147k  137k|   0   872k|   0  53.0 |3743  9063 |2.03 1.34 1.30|9.0   0  32|   0     0 |   0     0 | 26  406    0   72    3
Nov 02 14:47:56 ubuntu dstat.sh[71630]: 02-11 14:47:56| 50  11  34   1   0|5980M  133M  184M 1589M| 245k  237k| 190k  855k|41.9  79.9 |6404    12k|2.34 1.42 1.33|4.0   0 8.0|   0     0 |   0     0 | 27  405    0   72    3
Nov 02 14:47:57 ubuntu dstat.sh[71630]: 02-11 14:47:57| 68   7  19   5   0|6002M  143M  181M 1562M| 683k  676k|  13M 1677k| 480   217 |8903    17k|2.34 1.42 1.33|4.0 1.0   0|   0     0 |   0     0 | 27  405    0   74    3
Nov 02 14:47:58 ubuntu dstat.sh[71630]: 02-11 14:47:58| 59   6  32   3   0|6060M  140M  175M 1513M| 312k  296k|6608k 1180k| 217   143 |6722    11k|2.34 1.42 1.33|4.0   0   0|   0     0 |   0     0 | 27  407    0   75    3
Nov 02 14:47:59 ubuntu dstat.sh[71630]: 02-11 14:47:59| 66   9  19   6   0|5938M  263M  176M 1513M| 437k  423k| 500k   16M|17.0  1464 |6757  9453 |2.34 1.42 1.33|3.0 1.0  19|   0     0 |   0     0 | 26  406    0   77    3
Nov 02 14:48:00 ubuntu dstat.sh[71630]: 02-11 14:48:00| 56   6  34   3   0|5960M  239M  176M 1514M| 377k  368k| 748k 1156k|22.0  76.0 |5080  8803 |2.34 1.42 1.33|2.0   0  27|   0     0 |   0     0 | 26  406    0   77    3
Nov 02 14:48:01 ubuntu dstat.sh[71630]: 02-11 14:48:01| 55   5  38   1   0|5981M  218M  176M 1515M| 116k  105k|  60k  538k|7.97  28.9 |3314  5134 |2.40 1.45 1.33|4.0   0  13|   0     0 |   0     0 | 26  406    0   75    3
Nov 02 14:48:02 ubuntu dstat.sh[71630]: 02-11 14:48:02| 60  13  24   2   0|5993M  203M  176M 1518M| 404k  388k|2954k 1350k|82.1   111 |5759    13k|2.40 1.45 1.33|6.0   0  29|   0     0 |   0     0 | 27  406    0   75    3
Nov 02 14:48:03 ubuntu dstat.sh[71630]: 02-11 14:48:03| 60   8  30   3   0|6010M  186M  176M 1518M| 535k  522k|  11M  975k| 418   104 |6615    14k|2.40 1.45 1.33|4.0 1.0   0|   0     0 |   0     0 | 27  407    0   74    3
Nov 02 14:48:04 ubuntu dstat.sh[71630]: 02-11 14:48:04| 73   7  13   5   0|5981M  215M  176M 1518M| 540k  521k|7853k 1377k| 274   111 |7913    12k|2.40 1.45 1.33| 14   0  24|   0     0 |   0     0 | 26  406    0   75    3
Nov 02 14:48:05 ubuntu dstat.sh[71630]: 02-11 14:48:05| 71   9  19   0   0|5985M  210M  176M 1518M| 533k  521k|   0  1736k|   0   134 |5274  9283 |2.40 1.45 1.33|4.0   0  40|   0     0 |   0     0 | 26  406    0   75    3
Nov 02 14:48:06 ubuntu dstat.sh[71630]: 02-11 14:48:06| 57  13  27   1   0|6001M  194M  176M 1519M| 373k  363k| 255k 1036k|44.0  82.0 |8157    14k|2.36 1.46 1.34|2.0   0  26|   0     0 |   0     0 | 27  406    0   75    3
