-- Logs begin at Thu 2022-06-30 07:07:20 UTC, end at Thu 2022-06-30 09:06:32 UTC. --
Jun 30 08:26:08 ubuntu systemd[1]: Started Devstack devstack@dstat.service.
Jun 30 08:26:08 ubuntu dstat.sh[20946]: [286B blob data]
Jun 30 08:26:08 ubuntu dstat.sh[20946]:      time     |usr sys idl wai stl| used  free  buff  cach| recv  send| read  writ| read  writ| int   csw | 1m   5m  15m |run blk new|  in   out |process              pid  cpu read write|process              pid  read write cpu|  memory process | used  free|lis  act  syn  tim  clo 
Jun 30 08:49:50 ubuntu dstat.sh[20946]: 30-06 08:49:50| 40   5  51   5   0|4640M  800M  177M 2276M|8994B 1620B|7642k 8944k| 257   489 |4273  6480 |1.28 1.41 1.31|7.0   0   0|   0     0 |qemu-system-x86      28539 26%   0    0 |python2              20993 147k 485B  0%|mysqld       451M|   0     0 |  28  358    0  498    0
Jun 30 08:49:51 ubuntu dstat.sh[20946]: 30-06 08:49:51| 41   3  57   0   0|4658M  782M  177M 2276M|  24k 9470B|   0   180k|   0  18.0 |2549  3731 |1.26 1.40 1.31|4.0   0   0|   0     0 |qemu-system-x86      28539 25%   0    0 |python2              20993 146k 450B0.5%|mysqld       451M|   0     0 |  28  356    0  499    0
Jun 30 08:49:52 ubuntu dstat.sh[20946]: 30-06 08:49:52| 48   4  47   0   0|4685M  756M  177M 2276M|  10k 1620B|   0   240k|   0  26.0 |4225  6408 |1.26 1.40 1.31|4.0   0 2.0|   0     0 |qemu-system-x86      28539 26%   0    0 |python2              20993 147k 460B  0%|mysqld       451M|   0     0 |  28  358    0  506    0
Jun 30 08:49:53 ubuntu dstat.sh[20946]: 30-06 08:49:53| 46   2  51   0   0|4687M  754M  177M 2276M|  75k   12k|   0   152k|   0  15.0 |3334  5453 |1.26 1.40 1.31|4.0   0   0|   0     0 |qemu-system-x86      28539 26%   0    0 |python2              20993 145k 455B0.5%|mysqld       451M|   0     0 |  28  358    0  491    0
Jun 30 08:49:54 ubuntu dstat.sh[20946]: 30-06 08:49:54| 45   5  51   0   0|4547M  893M  177M 2276M|  18k 1530B|   0   480k|   0  35.0 |3042  4946 |1.26 1.40 1.31|2.0   0  23|   0     0 |python               25984 19%   1B  14k|python2              20993 145k 465B  0%|mysqld       451M|   0     0 |  27  356    0  495    0
Jun 30 08:49:55 ubuntu dstat.sh[20946]: 30-06 08:49:55| 30   4  65   1   0|4547M  893M  177M 2276M|9220B 1566B|   0   723k|   0  73.0 |2582  4031 |1.26 1.40 1.31|1.0   0   0|   0     0 |python               25984 10%   1B6512B|python2              20993 142k 457B0.2%|mysqld       451M|   0     0 |  27  356    0  480    0
Jun 30 08:49:56 ubuntu dstat.sh[20946]: 30-06 08:49:56| 15   2  83   0   0|4547M  893M  177M 2276M|  12k 1842B|   0   184k|   0  18.0 |2017  3198 |1.24 1.40 1.31|3.0   0   0|   0     0 |uwsgi                258115.5%1287B  11k|python2              20993 143k 460B0.5%|mysqld       451M|   0     0 |  27  358    0  483    0
Jun 30 08:49:57 ubuntu dstat.sh[20946]: 30-06 08:49:57| 14   2  83   0   0|4547M  893M  177M 2276M|  21k 9415B|   0   200k|   0  21.0 |1915  3190 |1.24 1.40 1.31|1.0   0   0|   0     0 |cinder-volume        258315.0%  11k  20k|python2              20993 142k 458B0.2%|mysqld       451M|   0     0 |  27  356    0  478    0
Jun 30 08:49:58 ubuntu dstat.sh[20946]: 30-06 08:49:58| 23   2  75   0   0|4547M  893M  177M 2276M|  24k 8906B|   0   192k|   0  20.0 |2162  3334 |1.24 1.40 1.31|5.0   0 1.0|   0     0 |uwsgi                258126.5%2749B5808B|python2              20993 143k 452B0.2%|mysqld       451M|   0     0 |  27  357    0  483    0
Jun 30 08:49:59 ubuntu dstat.sh[20946]: 30-06 08:49:59| 15   3  81   0   0|4547M  893M  177M 2276M|  31k   12k|   0   112k|   0  12.0 |2039  3297 |1.24 1.40 1.31|4.0   0   0|   0     0 |uwsgi                258115.2%1287B6109B|python2              20993 140k 459B0.2%|mysqld       451M|   0     0 |  27  359    0  461    0
Jun 30 08:50:00 ubuntu dstat.sh[20946]: 30-06 08:50:00| 17   3  80   0   0|4547M  893M  177M 2276M|  32k   13k|   0   256k|   0  27.0 |2180  3691 |1.24 1.40 1.31|1.0   0   0|   0     0 |cinder-volume        258316.5%  15k  26k|python2              20993 140k 449B0.5%|mysqld       451M|   0     0 |  27  356    0  466    0
Jun 30 08:50:01 ubuntu dstat.sh[20946]: 30-06 08:50:01| 17   1  81   0   0|4547M  893M  177M 2277M|  21k 6942B|   0   196k|   0  17.0 |2087  3389 |1.22 1.39 1.31|3.0   0   0|   0     0 |uwsgi                258114.5%3897B  10k|python2              20993 137k 452B0.2%|mysqld       451M|   0     0 |  27  357    0  447    0
Jun 30 08:50:02 ubuntu dstat.sh[20946]: 30-06 08:50:02| 18   3  79   0   0|4547M  893M  177M 2277M|  32k   14k|   0   324k|   0  32.0 |2507  4138 |1.22 1.39 1.31|3.0   0 2.0|   0     0 |cinder-volume        258316.5%  17k  15k|python2              20993 138k 461B0.2%|mysqld       451M|   0     0 |  27  359    0  451    0
Jun 30 08:50:03 ubuntu dstat.sh[20946]: 30-06 08:50:03| 16   2  83   0   0|4547M  892M  177M 2277M|  32k   14k|   0   192k|   0  21.0 |2096  3416 |1.22 1.39 1.31|2.0   0   0|   0     0 |cinder-volume        258315.8%  15k  26k|python2              20993 135k 455B0.2%|mysqld       451M|   0     0 |  27  356    0  431    0
Jun 30 08:50:04 ubuntu dstat.sh[20946]: 30-06 08:50:04| 24   2  74   0   0|4547M  892M  177M 2277M|  23k 8906B|   0   216k|   0  21.0 |2200  3406 |1.22 1.39 1.31|5.0   0   0|   0     0 |uwsgi                258126.5%2745B5797B|python2              20993 136k 458B0.2%|mysqld       451M|   0     0 |  27  357    0  436    0
Jun 30 08:50:05 ubuntu dstat.sh[20946]: 30-06 08:50:05| 16   2  81   1   0|4546M  894M  178M 2277M|  49k   12k|   0   144k|   0  15.0 |2032  3184 |1.22 1.39 1.31|6.0   0   0|   0     0 |uwsgi                258115.2%1287B6109B|python2              20993 135k 461B0.2%|mysqld       451M|   0     0 |  27  359    0  427    0
Jun 30 08:50:06 ubuntu dstat.sh[20946]: 30-06 08:50:06| 19   3  78   1   0|4546M  893M  178M 2277M|  54k   18k|   0   308k|   0  33.0 |2369  3732 |1.12 1.37 1.30|4.0   0   0|   0     0 |cinder-volume        258318.2%  24k  32k|python2              20993 135k 459B0.2%|mysqld       451M|   0     0 |  27  357    0  433    0
Jun 30 08:50:07 ubuntu dstat.sh[20946]: 30-06 08:50:07| 23   2  76   0   0|4545M  894M  178M 2277M|  50k   14k|   0   172k|   0  18.0 |2366  3707 |1.12 1.37 1.30|3.0   0   0|   0     0 |cinder-volume        258316.8%  17k  15k|python2              20993 135k 455B  0%|mysqld       451M|   0     0 |  27  359    0  429    0
Jun 30 08:50:08 ubuntu dstat.sh[20946]: 30-06 08:50:08| 21   3  76   0   0|4545M  893M  178M 2277M|  40k   16k|   0   224k|   0  24.0 |2508  3926 |1.12 1.37 1.30|5.0   0   0|   0     0 |uwsgi                258116.5%1288B  13k|python2              20993 135k 459B0.2%|mysqld       451M|   0     0 |  27  359    0  433    0
Jun 30 08:50:09 ubuntu dstat.sh[20946]: 30-06 08:50:09| 14   2  84   0   0|4546M  893M  178M 2278M|  33k   14k|   0   176k|   0  18.0 |1985  3213 |1.12 1.37 1.30|5.0   0   0|   0     0 |cinder-volume        258316.0%  15k  26k|python2              20993 135k 445B0.5%|mysqld       451M|   0     0 |  27  358    0  432    0
Jun 30 08:50:10 ubuntu dstat.sh[20946]: 30-06 08:50:10| 27   2  70   0   0|4545M  893M  178M 2278M|  15k 1566B|   0   120k|   0  9.00 |2239  3439 |1.12 1.37 1.30|7.0   0   0|   0     0 |uwsgi                25812 14%5538B  10k|python2              20993 137k 457B0.5%|mysqld       451M|   0     0 |  27  360    0  440    0
Jun 30 08:50:11 ubuntu dstat.sh[20946]: 30-06 08:50:11| 26   2  71   0   0|4545M  893M  178M 2278M|  64k   27k|   0   252k|   0  24.0 |2479  3842 |1.11 1.36 1.30|5.0   0   0|   0     0 |cinder-volume        258317.2%  26k  20k|python2              20993 134k 459B  0%|mysqld       451M|   0     0 |  27  360    0  423    0
Jun 30 08:50:12 ubuntu dstat.sh[20946]: 30-06 08:50:12| 22   3  75   0   0|4545M  893M  178M 2278M|  40k   17k|   0   180k|   0  20.0 |2686  4270 |1.11 1.36 1.30|4.0   0 2.0|   0     0 |cinder-volume        258316.2%  15k  16k|python2              20993 135k 455B0.2%|mysqld       451M|   0     0 |  27  358    0  432    0
Jun 30 08:50:13 ubuntu dstat.sh[20946]: 30-06 08:50:13| 18   2  80   0   0|4546M  893M  178M 2278M|  42k   14k|   0   112k|   0  12.0 |2136  3262 |1.11 1.36 1.30|5.0   0   0|   0     0 |cinder-volume        258317.0%  15k  14k|python2              20993 133k 455B0.2%|mysqld       451M|   0     0 |  27  363    0  410    0
Jun 30 08:50:14 ubuntu dstat.sh[20946]: 30-06 08:50:14| 37   3  59   0   0|4546M  892M  178M 2278M|  16k 6298B|   0   536k|   0  57.0 |3516  5826 |1.11 1.36 1.30|7.0   0   0|   0     0 |python               25984 18% 459B  14k|python2              20993 134k 458B0.2%|mysqld       451M|   0     0 |  27  364    0  418    0
Jun 30 08:50:15 ubuntu dstat.sh[20946]: 30-06 08:50:15| 30   2  68   1   0|4545M  892M  178M 2278M|  12k 1566B|   0   416k|   0  59.0 |2275  3701 |1.11 1.36 1.30|6.0   0   0|   0     0 |python               25985 22% 459B  15k|python2              20993 132k 461B0.2%|mysqld       451M|   0     0 |  27  366    0  403    0
Jun 30 08:50:16 ubuntu dstat.sh[20946]: 30-06 08:50:16| 31   2  66   1   0|4546M  892M  178M 2278M|  15k 1620B|   0  1732k|   0   102 |3378  5454 |1.10 1.35 1.30|2.0   0   0|   0     0 |python               259849.8%1826B8430B|python2              20993 133k 466B0.2%|mysqld       451M|   0     0 |  27  364    0  416    0
Jun 30 08:50:17 ubuntu dstat.sh[20946]: 30-06 08:50:17| 29   3  69   0   0|4546M  891M  178M 2279M|9957B 1620B|   0   492k|   0  61.0 |3490  5791 |1.10 1.35 1.30|2.0   0   0|   0     0 |uwsgi                231009.8%7450B  31k|python2              20993 133k 454B0.5%|mysqld       451M|   0     0 |  27  364    0  416    0
Jun 30 08:50:18 ubuntu dstat.sh[20946]: 30-06 08:50:18| 28   3  69   0   0|4547M  891M  178M 2279M|7826B 1620B|   0   188k|   0  16.0 |2593  4637 |1.10 1.35 1.30|3.0   0   0|   0     0 |uwsgi                23100 11%5839B  20k|python2              20993 135k 457B0.2%|mysqld       451M|   0     0 |  27  364    0  425    0
Jun 30 08:50:19 ubuntu dstat.sh[20946]: 30-06 08:50:19| 19   3  78   1   0|4547M  890M  178M 2279M|  28k 9475B|   0   320k|   0  35.0 |2152  3672 |1.10 1.35 1.30|1.0   0   0|   0     0 |cinder-volume        258315.2%  11k  20k|python2              20993 132k 464B0.2%|mysqld       451M|   0     0 |  27  360    0  409    0
Jun 30 08:50:20 ubuntu dstat.sh[20946]: 30-06 08:50:20| 21   4  75   0   0|4578M  859M  178M 2279M|  14k 1566B|   0   180k|   0  21.0 |2122  3157 |1.10 1.35 1.30|3.0   0 3.0|   0     0 |cinder-rootwrap      285954.2%   0    0 |python2              20993 132k 460B0.5%|mysqld       451M|   0     0 |  27  358    0  413    0
Jun 30 08:50:21 ubuntu dstat.sh[20946]: 30-06 08:50:21| 25   5  67   2   0|4582M  855M  178M 2279M|  25k 7295B|   0  7240k|   0   412 |2898  3152 |1.17 1.36 1.30|2.0   0 8.0|   0     0 |privsep-helper       285994.2%   0    0 |cinder-backup        258508415k3665B1.2%|mysqld       451M|   0     0 |  27  361    0  395    0
Jun 30 08:50:22 ubuntu dstat.sh[20946]: 30-06 08:50:22| 14   2  84   0   0|4583M  854M  178M 2279M|  52k   24k|   0   100k|   0  6.00 |2057  3025 |1.17 1.36 1.30|2.0   0 4.0|   0     0 |cinder-volume        258317.5%  36k  25k|python2              20993 130k 456B0.2%|mysqld       451M|   0     0 |  27  360    0  396    0
Jun 30 08:50:23 ubuntu dstat.sh[20946]: 30-06 08:50:23|  7   2  91   0   0|4584M  853M  178M 2279M|7487B 1760B|   0    88k|   0  4.00 |1455  2663 |1.17 1.36 1.30|2.0   0 4.0|   0     0 |uwsgi                258110.8%1299B3512B|python2              20993 130k 450B0.2%|mysqld       451M|   0     0 |  27  363    0  393    0
Jun 30 08:50:24 ubuntu dstat.sh[20946]: 30-06 08:50:24|  8   5  87   1   0|4585M  852M  178M 2279M|1090k   34k|1048k   68k|43.0  4.00 |2350  3667 |1.17 1.36 1.30|1.0   0  37|   0     0 |uwsgi                258120.8%1299B3512B|python2              20993 130k 476B0.5%|mysqld       451M|   0     0 |  27  363    0  394    0
Jun 30 08:50:25 ubuntu dstat.sh[20946]: 30-06 08:50:25| 20   4  70   6   0|4606M  809M  199M 2280M|  20M  339k|  19M 1087k|21.0   110 |6184  4326 |1.17 1.36 1.30|2.0 1.0  63|   0     0 |cinder-backup        258503.5%2920k2694B|cinder-backup        258502920k2694B3.5%|mysqld       451M|   0     0 |  27  367    0  378    0
Jun 30 08:50:26 ubuntu dstat.sh[20946]: 30-06 08:50:26| 22   3  70   5   0|4639M  746M  229M 2280M|  33M  488k|  33M 1508k|26.0   191 |6963  3156 |1.16 1.36 1.30|2.0   0   0|   0     0 |cinder-backup        25850 17%  50M 849B|cinder-backup        25850  50M 849B 17%|mysqld       451M|   0     0 |  27  367    0  382    0
Jun 30 08:50:27 ubuntu dstat.sh[20946]: 30-06 08:50:27| 18   4  69   9   0|4640M  695M  279M 2280M|  52M  915k|  50M   48k|40.0  6.00 |  11k 2772 |1.16 1.36 1.30|2.0   0   0|   0     0 |cinder-backup        25850 15%  50M 953B|cinder-backup        25850  50M 953B 15%|mysqld       451M|   0     0 |  27  367    0  359    0
Jun 30 08:50:28 ubuntu dstat.sh[20946]: 30-06 08:50:28| 17   3  68  12   0|4641M  644M  329M 2280M|  52M  849k|  50M  208k|40.0  13.0 |9546  2931 |1.16 1.36 1.30|3.0   0   0|   0     0 |cinder-backup        25850 13%  50M1244B|cinder-backup        25850  50M1244B 13%|mysqld       451M|   0     0 |  27  367    0  362    0
Jun 30 08:50:29 ubuntu dstat.sh[20946]: 30-06 08:50:29| 22   3  68   6   0|4671M  582M  360M 2280M|  31M  538k|  29M  244k|23.0  18.0 |6972  2791 |1.16 1.36 1.30|2.0   0   0|   0     0 |cinder-backup        25850 17%   0 1523B|python2              20993 122k 489B0.5%|mysqld       451M|   0     0 |  27  367    0  337    0
Jun 30 08:50:30 ubuntu dstat.sh[20946]: 30-06 08:50:30|  5   2  71  23   0|4672M  580M  361M 2280M| 617k   17k|1280k    0 |1.00     0 |1651  2258 |1.16 1.36 1.30|1.0 1.0   0|   0     0 |uwsgi                258120.8%1299B3523B|python2              20993 122k 462B0.5%|mysqld       451M|   0     0 |  27  367    0  338    0
Jun 30 08:50:31 ubuntu dstat.sh[20946]: 30-06 08:50:31|  4   2  70  24   0|4672M  580M  361M 2280M|  13k 1566B|   0   510k|   0  81.0 |1672  2772 |1.15 1.35 1.30|4.0 1.0   0|   0     0 |nova-conductor       3782 0.5%   0    0 |python2              20993 122k 470B0.2%|mysqld       451M|   0     0 |  27  360    0  323    0
Jun 30 08:50:32 ubuntu dstat.sh[20946]: 30-06 08:50:32|  5   1  70  23   0|4672M  580M  361M 2280M|  12k 1566B|   0    64k|   0  3.00 |1614  2485 |1.15 1.35 1.30|1.0 1.0 2.0|   0     0 |nova-scheduler       802  0.5%   0    0 |python2              20993 119k 468B  0%|mysqld       451M|   0     0 |  27  369    0  316    0
Jun 30 08:50:33 ubuntu dstat.sh[20946]: 30-06 08:50:33|  6   1  70  23   0|4672M  580M  361M 2280M|8007B 1662B|   0    40k|   0  3.00 |1397  2365 |1.15 1.35 1.30|2.0 1.0   0|   0     0 |uwsgi                258120.8%1299B3523B|python2              20993 119k 457B0.2%|mysqld       451M|   0     0 |  27  367    0  317    0
Jun 30 08:50:34 ubuntu dstat.sh[20946]: 30-06 08:50:34|  6   1  70  23   0|4672M  580M  361M 2280M|9615B 1620B|   0    40k|   0  3.00 |1400  2406 |1.15 1.35 1.30|2.0 1.0   0|   0     0 |uwsgi                258110.5%1299B3523B|python2              20993 114k 463B0.2%|mysqld       451M|   0     0 |  27  367    0  287    0
Jun 30 08:50:35 ubuntu dstat.sh[20946]: 30-06 08:50:35|  8   4  64  24   0|4683M  568M  361M 2281M|  12k 1632B|6144k   96k|48.0  10.0 |1559  2579 |1.15 1.35 1.30|1.0 1.0 4.0|   0     0 |swift-object-au      287161.5%6401k  37k|swift-object-au      287166401k  37k1.5%|mysqld       451M|   0     0 |  27  367    0  288    0
Jun 30 08:50:36 ubuntu dstat.sh[20946]: 30-06 08:50:36|  7   2  68  23   0|4683M  568M  361M 2281M|  10k 1620B|9812k   80k|77.0  8.00 |1674  2717 |1.13 1.35 1.30|1.0 1.0   0|   0     0 |swift-object-au      287161.8%9621k 792B|swift-object-au      287169621k 792B1.8%|mysqld       451M|   0     0 |  27  367    0  270    0
Jun 30 08:50:37 ubuntu dstat.sh[20946]: 30-06 08:50:37|  6   2  71  21   0|4676M  576M  361M 2280M|  12k 1662B| 156k   76k|3.00  5.00 |1465  2422 |1.13 1.35 1.30|2.0 1.0   0|   0     0 |uwsgi                258120.8%1299B3523B|swift-object-au      24345  16M  38k  0%|mysqld       451M|   0     0 |  27  367    0  271    0
Jun 30 08:50:38 ubuntu dstat.sh[20946]: 30-06 08:50:38|  5   1  70  23   0|4675M  576M  361M 2280M|8119B 1620B|   0     0 |   0     0 |1288  2273 |1.13 1.35 1.30|2.0 1.0   0|   0     0 |uwsgi                258111.0%1299B3523B|python2              20993 108k 441B0.2%|mysqld       451M|   0     0 |  27  367    0  249    0
Jun 30 08:50:39 ubuntu dstat.sh[20946]: 30-06 08:50:39|  4   2  71  23   0|4675M  576M  361M 2280M|  13k 1620B|   0    44k|   0  5.00 |1365  2381 |1.13 1.35 1.30|1.0 1.0   0|   0     0 |uwsgi                258121.0%1299B3523B|python2              20993 108k 462B0.5%|mysqld       451M|   0     0 |  27  367    0  250    0
Jun 30 08:50:40 ubuntu dstat.sh[20946]: 30-06 08:50:40|  5   1  71  23   0|4676M  576M  361M 2280M|  11k 1734B|   0     0 |   0     0 |1318  2392 |1.13 1.35 1.30|1.0 1.0   0|   0     0 |uwsgi                258110.8%1299B3523B|python2              20993 106k 442B0.2%|mysqld       451M|   0     0 |  27  366    0  237    0
Jun 30 08:50:41 ubuntu dstat.sh[20946]: 30-06 08:50:41|  5   2  70  24   0|4675M  576M  361M 2280M|9080B 1620B|   0    44k|   0  3.00 |1503  2580 |1.20 1.36 1.30|4.0 1.0   0|   0     0 |uwsgi                258120.8%1299B3523B|python2              20993 106k 461B0.2%|mysqld       451M|   0     0 |  27  366    0  238    0
Jun 30 08:50:42 ubuntu dstat.sh[20946]: 30-06 08:50:42|  5   2  70  23   0|4676M  576M  361M 2280M|  16k 1706B|   0    40k|   0  3.00 |1674  2692 |1.20 1.36 1.30|1.0 1.0 2.0|   0     0 |uwsgi                258111.0%1299B3523B|python2              20993 105k 468B0.2%|mysqld       451M|   0     0 |  27  367    0  226    0
Jun 30 08:50:43 ubuntu dstat.sh[20946]: 30-06 08:50:43| 18   2  70  10   0|4645M  590M  379M 2280M|  21M  396k|  20M   40k|16.0  3.00 |5071  2894 |1.20 1.36 1.30|2.0   0   0|   0     0 |cinder-backup        25850 14%  50M 279B|cinder-backup        25850  50M 279B 14%|mysqld       451M|   0     0 |  27  367    0  227    0
Jun 30 08:50:44 ubuntu dstat.sh[20946]: 30-06 08:50:44| 19   4  67  10   0|4645M  539M  429M 2280M|  52M  905k|  50M  249k|40.0  17.0 |9544  2960 |1.20 1.36 1.30|2.0   0   0|   0     0 |cinder-backup        25850 13%  50M1244B|cinder-backup        25850  50M1244B 13%|mysqld       451M|   0     0 |  27  367    0  214    0
Jun 30 08:50:45 ubuntu dstat.sh[20946]: 30-06 08:50:45| 21   2  62  15   0|4690M  449M  474M 2280M|  44M  687k|  43M 3196k|34.0   414 |8171  3036 |1.20 1.36 1.30|1.0 1.0  22|   0     0 |cinder-backup        25850 14%   0 1523B|python2              20993 104k 495B0.2%|mysqld       451M|   0     0 |  27  369    0  218    0
Jun 30 08:50:46 ubuntu dstat.sh[20946]: 30-06 08:50:46| 26   3  66   5   0|4661M  458M  494M 2280M|  21M  474k|  20M 1084k|16.0  81.0 |7218  3135 |1.35 1.38 1.31|2.0 1.0   0|   0     0 |cinder-backup        25850 19%  50M1523B|cinder-backup        25850  50M1523B 19%|mysqld       451M|   0     0 |  27  369    0  211    0
Jun 30 08:50:47 ubuntu dstat.sh[20946]: 30-06 08:50:47| 23   3  69   5   0|4648M  436M  529M 2280M|  38M  964k|  38M  272k|30.0  19.0 |  17k 2983 |1.35 1.38 1.31|2.0   0   0|   0     0 |cinder-backup        25850 17%  50M 849B|cinder-backup        25850  50M 849B 17%|mysqld       451M|   0     0 |  27  369    0  214    0
Jun 30 08:50:48 ubuntu dstat.sh[20946]: 30-06 08:50:48| 20   4  66  11   0|4649M  385M  579M 2280M|  51M  901k|  50M  326k|40.0  44.0 |  18k 2972 |1.35 1.38 1.31|2.0   0  20|   0     0 |cinder-backup        25850 15%  50M 953B|cinder-backup        25850  50M 953B 15%|mysqld       451M|   0     0 |  27  371    0  211    0
Jun 30 08:50:49 ubuntu dstat.sh[20946]: 30-06 08:50:49| 17   4  67  12   0|4649M  334M  629M 2280M|  52M  820k|  50M  285k|40.0  19.0 |8772  2867 |1.35 1.38 1.31|2.0   0   0|   0     0 |cinder-backup        25850 11%  50M1244B|cinder-backup        25850  50M1244B 11%|mysqld       451M|   0     0 |  27  371    0  214    0
Jun 30 08:50:50 ubuntu dstat.sh[20946]: 30-06 08:50:50| 25   2  70   3   0|4670M  291M  651M 2281M|  21M  387k|  20M  196k|16.0  12.0 |4792  2667 |1.35 1.38 1.31|1.0 1.0   0|   0     0 |cinder-backup        25850 19%   0 1523B|python2              20993 104k 489B0.5%|mysqld       451M|   0     0 |  27  371    0  215    0
Jun 30 08:50:51 ubuntu dstat.sh[20946]: 30-06 08:50:51| 23   3  70   5   0|4649M  284M  679M 2281M|  30M  443k|  30M   44k|24.0  3.00 |5815  2399 |1.32 1.38 1.31|2.0   0   0|   0     0 |cinder-backup        25850 19%  50M 849B|cinder-backup        25850  50M 849B 19%|mysqld       451M|   0     0 |  27  373    0  216    0
Jun 30 08:50:52 ubuntu dstat.sh[20946]: 30-06 08:50:52| 17   3  69  11   0|4650M  232M  729M 2281M|  52M  808k|  50M 1640k|40.0   225 |  10k 3447 |1.32 1.38 1.31|3.0   0 2.0|   0     0 |cinder-backup        25850 11%  50M 953B|cinder-backup        25850  50M 953B 11%|mysqld       451M|   0     0 |  27  371    0  211    0
Jun 30 08:50:53 ubuntu dstat.sh[20946]: 30-06 08:50:53| 18   3  68  10   0|4698M  136M  778M 2281M|  49M  971k|  46M  240k|37.0  16.0 |  11k 2840 |1.32 1.38 1.31|4.0 1.0   0|   0     0 |cinder-backup        25850 14%  50M1244B|cinder-backup        25850  50M1244B 14%|mysqld       451M|   0     0 |  27  371    0  214    0
Jun 30 08:50:54 ubuntu dstat.sh[20946]: 30-06 08:50:54| 23   2  70   5   0|4667M  148M  796M 2281M|  20M  472k|  20M  264k|17.0  20.0 |7417  2636 |1.32 1.38 1.31|2.0   0   0|   0     0 |cinder-backup        25850 19%   0 1523B|python2              20993 102k 489B0.2%|mysqld       451M|   0     0 |  27  371    0  204    0
Jun 30 08:50:55 ubuntu dstat.sh[20946]: 30-06 08:50:55| 23   3  67   7   0|4652M  180M  829M 2232M|  35M  821k|  34M  260k|27.0  17.0 |  12k 2903 |1.32 1.38 1.31|3.0   0   0|   0     0 |cinder-backup        25850 17%  50M 849B|cinder-backup        25850  50M 849B 17%|mysqld       451M|   0     0 |  27  371    0  208    0
Jun 30 08:50:56 ubuntu dstat.sh[20946]: 30-06 08:50:56| 20   3  68   9   0|4653M  239M  879M 2125M|  52M 1240k|  50M  469k|40.0  57.0 |  17k 2848 |1.29 1.37 1.30|2.0   0 3.0|   0     0 |cinder-backup        25850 15%  50M 953B|cinder-backup        25850  50M 953B 15%|mysqld       451M|   0     0 |  27  371    0  203    0
Jun 30 08:50:57 ubuntu dstat.sh[20946]: 30-06 08:50:57| 20   2  69   8   0|4653M  189M  929M 2125M|  52M 1216k|  50M  476k|40.0  29.0 |  17k 2873 |1.29 1.37 1.30|4.0   0   0|   0     0 |cinder-backup        25850 14%  50M1244B|cinder-backup        25850  50M1244B 14%|mysqld       451M|   0     0 |  27  371    0  206    0
Jun 30 08:50:58 ubuntu dstat.sh[20946]: 30-06 08:50:58| 20   4  67   8   0|4694M  124M  970M 2107M|  41M  877k|  39M  216k|32.0  14.0 |  11k 2825 |1.29 1.37 1.30|2.0 1.0   0|   0     0 |cinder-backup        25850 15%   0 1523B|python2              20993 101k 491B0.2%|mysqld       451M|   0     0 |  27  371    0  200    0
Jun 30 08:50:59 ubuntu dstat.sh[20946]: 30-06 08:50:59| 23   3  68   6   0|4669M  157M  995M 2076M|  26M  545k|  25M  248k|20.0  19.0 |8012  2754 |1.29 1.37 1.30|1.0 1.0 1.0|   0     0 |cinder-backup        25850 18%  50M1523B|cinder-backup        25850  50M1523B 18%|mysqld       451M|   0     0 |  27  371    0  203    0
Jun 30 08:51:00 ubuntu dstat.sh[20946]: 30-06 08:51:00| 21   4  67   8   0|4655M  280M 1022M 1942M|  37M  739k|  36M  156k|29.0  4.00 |9391  2675 |1.29 1.37 1.30|1.0 1.0 5.0|   0     0 |cinder-backup        25850 16%  50M 849B|cinder-backup        25850  50M 849B 16%|mysqld       451M|   0     0 |  27  371    0  199    0
Jun 30 08:51:01 ubuntu dstat.sh[20946]: 30-06 08:51:01| 22   5  63  10   0|4655M  230M 1073M 1942M|  52M 1228k|  50M 1709k|47.0   369 |  23k 4668 |1.43 1.40 1.31|3.0   0   0|   0     0 |cinder-backup        25850 14%  50M 953B|cinder-backup        25850  50M 953B 14%|mysqld       451M|   0     0 |  27  371    0  200    0
Jun 30 08:51:02 ubuntu dstat.sh[20946]: 30-06 08:51:02| 21   5  64  10   0|4657M  178M 1123M 1943M|  51M  573k|  50M  264k|45.0  17.0 |  11k 3364 |1.43 1.40 1.31|3.0   0 3.0|   0     0 |cinder-backup        25850 15%  50M1244B|cinder-backup        25850  50M1244B 15%|mysqld       451M|   0     0 |  27  371    0  197    0
Jun 30 08:51:03 ubuntu dstat.sh[20946]: 30-06 08:51:03| 23   3  67   7   0|4693M  190M 1156M 1862M|  38M  970k|  36M  236k|29.0  16.0 |  16k 2790 |1.43 1.40 1.31|2.0 1.0   0|   0     0 |cinder-backup        25850 16%   0 1523B|python2              20993 101k 493B  0%|mysqld       451M|   0     0 |  27  373    0  200    0
Jun 30 08:51:04 ubuntu dstat.sh[20946]: 30-06 08:51:04| 25   2  69   4   0|4664M  198M 1178M 1862M|  22M  552k|  20M  228k|17.0  17.0 |  12k 2616 |1.43 1.40 1.31|4.0   0   0|   0     0 |cinder-backup        25850 20%  50M1523B|cinder-backup        25850  50M1523B 20%|mysqld       451M|   0     0 |  27  373    0  192    0
